# Jibe/iCIMS employer-owned career hostnames, one per line (# = comment, inline OK).
# Staged, NOT registered: unverified from this container, which cannot reach a job board.
# Promote a host only after a live `health --company <host>` run confirms it.
# The highest-volume 60 of this survey are registered in jibe.go; these are the rest.
#
careers.haskell.com   # Haskell (~116)
empowerai.jibeapply.com   # empowerai (~116)
careers.navistar.com   # Navistar (~115)
covenanthealthcare.jibeapply.com   # covenanthealthcare (~112)
navistar.jibeapply.com   # Navistar (~111)
amica.jibeapply.com   # amica (~110)
careers.amica.ca   # amica (~110)
careers.enlyte.com   # enlyte (~110)
careers.evergreen.insightglobal.com   # evergreen (~104)
careers.myrgroup.com   # MYR Group (~103)
careers.international.com   # international (~103)
msasafety.jibeapply.com   # MSA Safety (~100)
careers.insightglobal.com   # Insight Global (~99)
connection.jibeapply.com   # connection (~98)
careers.msasafety.com   # msasafety (~98)
careers.monumentconsulting.com   # monumentconsulting (~95)
careers.delmarva.com   # delmarva (~93)
talent.orrick.com   # talent (~90)
selective.jibeapply.com   # Selective Insurance (~89)
jobs.selective.com   # selective (~88)
chickfila.jibeapply.com   # Chick-fil-A (~85)
careers.cfa-supply.com   # cfa-supply (~83)
explore.enercon.com   # explore (~83)
pinkerton.jibeapply.com   # pinkerton (~82)
careers.selectquote.com   # selectquote (~81)
careers.chick-fil-a.com   # Chick-fil-A (~80)
careers.herzog.com   # herzog (~79)
careers.beazley.com   # Beazley (~72)
jobs.hazeldenbettyford.org   # hazeldenbettyford (~71)
hazelden.jibeapply.com   # hazelden (~69)
careers.doyon.com   # doyon (~64)
careers.kansascityymca.org   # kansascityymca (~63)
careers.solusarc.co.uk   # solusarc (~61)
careers.fm.com   # fm (~59)
careers.gateshudson.com   # gateshudson (~57)
doyon.jibeapply.com   # doyon (~56)
careers.designerbrandscanada.com   # designerbrandscanada (~54)
careers.crowley.com   # crowley (~51)
careers.adisseo.com   # adisseo (~50)
designerbrands.jibeapply.com   # Designer Brands / DSW (~49)
careers.aarp.org   # AARP (~45)
careers.pnnl.gov   # Pacific Northwest National Lab (~40)
careers.einsteinmed.edu   # Albert Einstein College of Medicine (~40)
regiscorp.jibeapply.com   # Regis Corporation (~40)
careers.guard.com   # guard (~38)
careers.matthews.com   # matthews (~38)
careers.tompkinsfinancial.com   # tompkinsfinancial (~36)
careers.sammonsfinancialgroup.com   # sammonsfinancialgroup (~36)
careers.rockefeller.edu   # rockefeller (~33)
greenstate.jibeapply.com   # greenstate (~32)
careers.graitec.com   # graitec (~31)
careers.fluxys.com   # fluxys (~30)
careers.southglos.gov.uk   # southglos (~30)
careers.pacira.com   # Pacira BioSciences (~29)
zenimax.jibeapply.com   # ZeniMax Media (~29)
careers.certara.com   # certara (~27)
sequoia.jibeapply.com   # Sequoia Equities (~23)
careers.rti.org   # rti (~19)
medicalsolutions.jibeapply.com   # medicalsolutions (~18)
careers.promega.com   # promega (~18)
careers.patelco.org   # Patelco Credit Union (~16)
emera.jibeapply.com   # Emera / Tampa Electric (~15)
careers.emera.com   # emera (~15)
careers.foundationfinance.com   # foundationfinance (~11)
careers.flydubai.com   # flydubai (~10)
careers.haymarket.com   # Haymarket Media (~8)
careers.thezenith.com   # The Zenith (~7)
gopilot.pilotcat.com   # gopilot (~6)
genesishcc.jibeapply.com   # Genesis HealthCare (~3,887)
pacificdentalservices.jibeapply.com   # Pacific Dental Services (~2,002)
peraton.jibeapply.com   # Peraton (~1,746)
axa.jibeapply.com   # AXA (~1,555)
careers.sarnova.com   # sarnova (~1)
careers.sightsavers.org   # sightsavers (~1)
#
# Mirrors of an employer already registered under another host. Left unregistered
# so one employer is not crawled twice and listed twice; kept here because they
# are live boards, not dead ones, and are the fallback if the registered host dies.
bjsrestaurants.jibeapply.com   # mirror
firstwatch.jibeapply.com   # mirror
jobs.mastec.com   # mirror
mymichigan.jibeapply.com   # mirror
